Inicial Upcard Acoes Final Valor DealerFinal
3A Q HHS 369A 19 TQ
3Q 6 S 3Q 13 226A
5Q 6 S 5Q 15 226A
47 6 D 47A 12 226A
9K 6 S 9K 19 226A
57 6 S 57 12 226A
68 6 S 68 14 226A
JK 6 S JK 20 226A
3K 5 S 3K 13 558
QQ 5 S QQ 20 558
48 5 S 48 12 558
23 5 HD 234A 20 558
7K 5 S 7K 17 558
7J 5 S 7J 17 558
27 5 D 237 12 558
4Q K H 49Q 23 9K
78 K HS 378 18 9K
TT K S TT 20 9K
47 K D 457 16 9K
7Q K S 7Q 17 9K
JJ K S JJ 20 9K
5A K HH 579A 22 9K
2Q A H 2JQ 22 6A
28 A HS 288 18 6A
6K A H 6QK 26 6A
5Q A HS 35Q 18 6A
7T A S 7T 17 6A
6Q A HS 36Q 19 6A
4Q A HS 44Q 18 6A
38 J D 348 15 JJ
7K J S 7K 17 JJ
5A J HHS 25JA 18 JJ
88 J P 8K 18 JJ
28 J HS 28T 20 JJ
4K J HS 34K 17 JJ
8K J S 8K 18 JJ
2J J HS 28J 20 JJ
4J 8 HS 45J 19 3478A
57 8 H 57T 22 3478A
6J 8 HS 6JA 17 3478A
QK 8 S QK 20 3478A
7A 8 S 7A 18 3478A
2J 8 HHHS 222JA 17 3478A
4J 8 H 48J 22 3478A
9A 6 S 9A 20 6A
9Q 6 S 9Q 19 6A
44 6 HS 44K 18 6A
2Q 6 S 2Q 12 6A
4A 6 D 34A 18 6A
JK 6 S JK 20 6A
6K 6 S 6K 16 6A
9A 3 S 9A 20 37K
3K 3 S 3K 13 37K
TJ 3 S TJ 20 37K
JA 3 - JA 21 37K
57 3 HS 457 16 37K
TJ 3 S TJ 20 37K
4K 3 S 4K 14 37K
57 3 H 57K 22 35T
6T 3 S 6T 16 35T
23 3 HHS 223K 17 35T
34 3 HS 34K 17 35T
JJ 3 S JJ 20 35T
2A 3 HS 2JA 13 35T
57 3 HS 57A 13 35T
JQ T S JQ 20 TT
JK T S JK 20 TT
7T T S 7T 17 TT
57 T H 57Q 22 TT
4K T H 4TK 24 TT
58 T HS 458 17 TT
QA T - QA 21 TT
TJ 8 S TJ 20 278
48 8 H 48J 22 278
46 8 D 46Q 20 278
8A 8 S 8A 19 278
33 8 HHS 3358 19 278
7Q 8 S 7Q 17 278
38 8 D 388 19 278
JK K S JK 20 KK
2Q K HHH 22TQA 25 KK
58 K H 58K 23 KK
6J K H 6JK 26 KK
5A K HHS 35AA 20 KK
29 K D 29J 21 KK
29 K D 289 19 KK
36 5 D 36Q 19 457A
9T 5 S 9T 19 457A
6A 5 D 6JA 17 457A
38 5 D 348 15 457A
QA 5 - QA 21 457A
9T 5 S 9T 19 457A
5J 5 S 5J 15 457A
4Q A HS 45Q 19 KA
JQ A S JQ 20 KA
8A A S 8A 19 KA
7A A HHHS 357AA 17 KA
49 A HS 469 19 KA
27 A HH 2677 22 KA
46 A HS 469 19 KA
4Q 7 HS 46Q 20 7T
TJ 7 S TJ 20 7T
48 7 HH 2489 23 7T
JA 7 - JA 21 7T
QA 7 - QA 21 7T
28 7 D 28T 20 7T
7K 7 S 7K 17 7T
8T 6 S 8T 18 46T
TT 6 S TT 20 46T
99 6 P 49 13 46T
59 6 S 59 14 46T
59 6 S 59 14 46T
26 6 HD 236J 21 46T
QK 6 S QK 20 46T
29 6 D 29Q 21 46T
33 A HHS 333A 20 TA
7A A HS 7KA 18 TA
29 A HS 299 20 TA
9K A S 9K 19 TA
4K A H 4TK 24 TA
QA A - QA 21 TA
6A A HH 678A 22 TA
3T 4 S 3T 13 46K
47 4 D 477 18 46K
2A 4 HS 2KA 13 46K
69 4 S 69 15 46K
JK 4 S JK 20 46K
7A 4 D 77A 15 46K
TQ 4 S TQ 20 46K
29 5 D 29T 21 556J
27 5 D 27T 19 556J
46 5 D 456 15 556J
24 5 HD 245A 12 556J
79 5 S 79 16 556J
TJ 5 S TJ 20 556J
5Q 5 S 5Q 15 556J
68 5 S 68 14 57Q
78 5 S 78 15 57Q
9K 5 S 9K 19 57Q
JK 5 S JK 20 57Q
QA 5 - QA 21 57Q
39 5 S 39 12 57Q
49 5 S 49 13 57Q
49 7 H 489 21 7T
3T 7 HHHS 33TAA 18 7T
3J 7 HS 37J 20 7T
3T 7 H 38T 21 7T
29 7 D 249 15 7T
3J 7 HS 37J 20 7T
JJ 7 S JJ 20 7T
QA 3 - QA 21 369
8K 3 S 8K 18 369
26 3 HH 246T 22 369
8Q 3 S 8Q 18 369
5A 3 HS 59A 15 369
2Q 3 H 2TQ 22 369
27 3 D 27J 19 369
8K J S 8K 18 8J
57 J H 57J 22 8J
57 J H 57K 22 8J
9Q J S 9Q 19 8J
46 J HS 46Q 20 8J
6J J H 6JK 26 8J
8A J S 8A 19 8J
56 6 D 256 13 26A
8T 6 S 8T 18 26A
QK 6 S QK 20 26A
4Q 6 S 4Q 14 26A
TJ 6 S TJ 20 26A
39 6 S 39 12 26A
69 6 S 69 15 26A
4J T H 4TJ 24 8T
7Q T S 7Q 17 8T
8K T S 8K 18 8T
3K T H 3QK 23 8T
5Q T H 59Q 24 8T
8Q T S 8Q 18 8T
28 T HS 28J 20 8T
8J T S 8J 18 TT
4Q T HS 46Q 20 TT
49 T HS 449 17 TT
3K T HH 3KKA 24 TT
6J T H 56J 21 TT
44 T HS 44T 18 TT
35 T HS 35A 19 TT
4J 2 S 4J 14 279
QK 2 S QK 20 279
57 2 HS 357 15 279
55 2 D 355 13 279
5T 2 S 5T 15 279
69 2 S 69 15 279
3Q 2 S 3Q 13 279
7Q 7 S 7Q 17 78Q
44 7 HS 44A 19 78Q
68 7 H 678 21 78Q
79 7 H 79J 26 78Q
2Q 7 H 2TQ 22 78Q
9K 7 S 9K 19 78Q
2T 7 HS 26T 18 78Q
9T 5 S 9T 19 5TJ
56 5 D 56T 21 5TJ
JK 5 S JK 20 5TJ
3J 5 S 3J 13 5TJ
37 5 D 37T 20 5TJ
TA 5 - TA 21 5TJ
58 5 S 58 13 5TJ
33 A HHS 233T 18 8AA
55 A HHS 5555 20 8AA
9A A S 9A 20 8AA
8K A S 8K 18 8AA
49 A HH 3499 25 8AA
4Q A H 4JQ 24 8AA
47 A HHS 2447 17 8AA
4A 6 D 47A 12 68J
25 6 HS 255 12 68J
4T 6 S 4T 14 68J
9Q 6 S 9Q 19 68J
5K 6 S 5K 15 68J
44 6 HS 44T 18 68J
5T 6 S 5T 15 68J
4J K HH 48JA 23 22QK
JK K S JK 20 22QK
8A K S 8A 19 22QK
2T K HHS 225T 19 22QK
TJ K S TJ 20 22QK
5A K HH 58QA 24 22QK
69 K H 69Q 25 22QK
2K Q H 2TK 22 QK
2J Q HHHS 222JA 17 QK
99 Q S 99 18 QK
TA Q - TA 21 QK
3J Q H 3JK 23 QK
3A Q H 37A 21 QK
46 Q HS 468 18 QK
6T Q H 6TJ 26 QQ
44 Q HS 44A 19 QQ
22 Q HH 22TJ 24 QQ
3Q Q H 38Q 21 QQ
2Q Q H 2JQ 22 QQ
TK Q S TK 20 QQ
67 Q HHS 3367 19 QQ
27 2 HS 279 18 288
6J 2 S 6J 16 288
3A 2 HHS 233A 19 288
4Q 2 S 4Q 14 288
3J 2 S 3J 13 288
89 2 S 89 17 288
9K 2 S 9K 19 288
44 9 HS 44K 18 49T
TJ 9 S TJ 20 49T
3T 9 H 3TQ 23 49T
5Q 9 H 5JQ 25 49T
5Q 9 HS 25Q 17 49T
6Q 9 H 6JQ 26 49T
2K 9 H 2QK 22 49T
26 7 HD 2346 15 277J
7K 7 S 7K 17 277J
9A 7 S 9A 20 277J
5K 7 HS 55K 20 277J
3Q 7 H 38Q 21 277J
QQ 7 S QQ 20 277J
7T 7 S 7T 17 277J
89 A S 89 17 KA
37 A HS 37Q 20 KA
46 A HS 46J 20 KA
5A A HHS 577A 20 KA
47 A HS 479 20 KA
37 A HS 37T 20 KA
4Q A H 4QQ 24 KA
2Q 7 HH 23JQ 25 679
JQ 7 S JQ 20 679
45 7 HH 4577 23 679
9A 7 S 9A 20 679
9K 7 S 9K 19 679
AA 7 P 2A 13 679
2A 7 - 2A 13 679
36 7 HHS 3467 20 679
2Q 2 HS 26Q 18 2259
28 2 D 228 12 2259
6Q 2 S 6Q 16 2259
6Q 2 S 6Q 16 2259
55 2 D 557 17 2259
2K 2 HS 24K 16 2259
5Q 2 S 5Q 15 2259
4Q 5 S 4Q 14 557
4J 5 S 4J 14 557
9Q 5 S 9Q 19 557
4T 5 S 4T 14 557
JA 5 - JA 21 557
KA 5 - KA 21 557
3K 5 S 3K 13 557
39 J HHHS 2239A 17 7J
TA J - TA 21 7J
3T J H 3TK 23 7J
7A J HS 7KA 18 7J
5Q J HS 25Q 17 7J
6K J H 66K 22 7J
7A J HS 7AA 19 7J
45 J HS 459 18 9J
59 J HS 569 20 9J
QK J S QK 20 9J
6A J HHS 268A 17 9J
4T J H 4TJ 24 9J
JK J S JK 20 9J
QA J - QA 21 9J
88 Q P 68 14 9Q
8T Q S 8T 18 9Q
6J Q H 6JJ 26 9Q
79 Q HS 379 19 9Q
JQ Q S JQ 20 9Q
2T Q HHH 238TA 24 9Q
48 Q HS 458 17 9Q
49 Q H 489 21 9Q
8A 6 D 38A 12 6QA
7A 6 D 7AA 19 6QA
99 6 P 39 12 6QA
69 6 S 69 15 6QA
5A 6 D 5JA 16 6QA
29 6 D 269 17 6QA
27 6 D 227 11 6QA
8Q 6 S 8Q 18 6QA
2Q 8 H 2JQ 22 668
68 8 H 68K 24 668
JA 8 - JA 21 668
25 8 HH 257T 24 668
79 8 HS 479 20 668
4A 8 HH 489A 22 668
6K 8 H 6TK 26 668
68 3 S 68 14 336J
8Q 3 S 8Q 18 336J
3T 3 S 3T 13 336J
9J 3 S 9J 19 336J
57 3 H 57J 22 336J
3K 3 S 3K 13 336J
46 3 D 446 14 336J
4J 8 HHS 234J 19 8J
8J 8 S 8J 18 8J
6K 8 H 6KK 26 8J
67 8 H 67T 23 8J
TA 8 - TA 21 8J
69 8 H 69J 25 8J
JK 8 S JK 20 8J
7T 6 S 7T 17 68J
45 6 D 456 15 68J
JJ 6 S JJ 20 68J
8J 6 S 8J 18 68J
TJ 6 S TJ 20 68J
8J 6 S 8J 18 68J
6J 6 S 6J 16 68J
55 A HS 557 17 9A
7A A HS 27A 20 9A
6J A H 67J 23 9A
28 A HS 289 19 9A
TK A S TK 20 9A
59 A H 579 21 9A
JA A - JA 21 9A
39 4 S 39 12 48K
49 4 S 49 13 48K
24 4 HS 247 13 48K
5J 4 S 5J 15 48K
8J 4 S 8J 18 48K
4A 4 D 44A 19 48K
48 4 S 48 12 48K
6J 5 S 6J 16 4567
9Q 5 S 9Q 19 4567
55 5 D 55A 21 4567
8J 5 S 8J 18 4567
2A 5 D 2QA 13 4567
8K 5 S 8K 18 4567
2K 5 S 2K 12 4567
5K J HS 55K 20 29J
6K J H 68K 24 29J
7A J HS 7TA 18 29J
36 J HS 36Q 19 29J
QA J - QA 21 29J
35 J HS 35K 18 29J
8K J S 8K 18 29J
3T 2 S 3T 13 24A
3Q 2 S 3Q 13 24A
KA 2 - KA 21 24A
3A 2 HHS 38AA 13 24A
24 2 HHS 248A 15 24A
5Q 2 S 5Q 15 24A
JK 2 S JK 20 24A
8K 6 S 8K 18 67T
77 6 P 67 13 67T
79 6 S 79 16 67T
27 6 D 27Q 19 67T
3J 6 S 3J 13 67T
QK 6 S QK 20 67T
6K 6 S 6K 16 67T
7K 6 S 7K 17 67T
3T K HHHS 223TA 18 KA
KA K - KA 21 KA
6K K H 6TK 26 KA
45 K HH 445K 23 KA
25 K HD 245Q 21 KA
99 K S 99 18 KA
23 K HHH 2239T 26 KA
KK 5 S KK 20 5JJ
78 5 S 78 15 5JJ
4T 5 S 4T 14 5JJ
48 5 S 48 12 5JJ
4K 5 S 4K 14 5JJ
7K 5 S 7K 17 5JJ
TK 5 S TK 20 5JJ
38 9 D 38K 21 249Q
5J 9 HS 25J 17 249Q
27 9 HS 27J 19 249Q
8Q 9 S 8Q 18 249Q
3J 9 H 38J 21 249Q
9K 9 S 9K 19 249Q
4T 9 HS 34T 17 249Q
6J K H 6JJ 26 6TK
QA K - QA 21 6TK
34 K HD 3447 18 6TK
27 K HHHS 2357A 18 6TK
QQ K S QQ 20 6TK
4T K HS 45T 19 6TK
7J K S 7J 17 6TK
8K A S 8K 18 9A
JQ A S JQ 20 9A
TT A S TT 20 9A
2K A HHHS 224KA 19 9A
27 A HS 27K 19 9A
44 A HS 44T 18 9A
7A A HH 47TA 22 9A
7T 7 S 7T 17 79K
7Q 7 S 7Q 17 79K
7J 7 S 7J 17 79K
KA 7 - KA 21 79K
8K 7 S 8K 18 79K
8J 7 S 8J 18 79K
3Q 7 HS 35Q 18 79K
9J J S 9J 19 7J
25 J HS 25J 17 7J
JA J - JA 21 7J
QK J S QK 20 7J
69 J HS 469 19 7J
25 J HHS 2558 20 7J
7K J S 7K 17 7J
6K J H 66K 22 4JK
4J J HS 45J 19 4JK
48 J HS 478 19 4JK
TK J S TK 20 4JK
TT J S TT 20 4JK
29 J D 279 18 4JK
3Q J H 38Q 21 4JK
6A J HHH 3566A 21 7J
22 J HHHS 2278A 20 7J
77 J H 77J 24 7J
QQ J S QQ 20 7J
4K J HS 44K 18 7J
6Q J HS 26Q 18 7J
6K J H 69K 25 7J
2Q 8 H 29Q 21 22388
37 8 D 337 13 22388
3Q 8 H 39Q 22 22388
9J 8 S 9J 19 22388
24 8 HHS 24AA 18 22388
78 8 HH 789A 25 22388
TA 8 - TA 21 22388
2K 9 HH 29KA 22 349A
57 9 H 57K 22 349A
2T 9 HS 28T 20 349A
3K 9 HS 35K 18 349A
57 9 HH 257J 24 349A
99 9 P 89 17 349A
9Q 9 S 9Q 19 349A
48 9 HS 478 19 349A
AA 4 P JA 21 469
JA 4 - JA 21 469
6K 4 S 6K 16 469
TJ 4 S TJ 20 469
37 4 D 37A 21 469
5A 4 D 5AA 17 469
TK 4 S TK 20 469
TK 4 S TK 20 469
2K 9 HH 239K 24 99
9K 9 S 9K 19 99
68 9 H 68Q 24 99
55 9 D 55J 20 99
34 9 HHS 3458 20 99
5Q 9 H 59Q 24 99
48 9 H 48T 22 99
7J 9 S 7J 17 9Q
46 9 D 467 17 9Q
QK 9 S QK 20 9Q
56 9 D 56A 12 9Q
7Q 9 S 7Q 17 9Q
24 9 HH 2479 22 9Q
2A 9 HHS 279A 19 9Q
67 A H 678 21 QA
9J A S 9J 19 QA
TT A S TT 20 QA
8J A S 8J 18 QA
3T A HS 37T 20 QA
7T A S 7T 17 QA
2K A HHH 2QKAA 24 QA
5J 8 H 57J 22 688
3T 8 HS 35T 18 688
KA 8 - KA 21 688
9T 8 S 9T 19 688
7J 8 S 7J 17 688
38 8 D 348 15 688
55 8 D 559 19 688
3J Q H 39J 22 7Q
JA Q - JA 21 7Q
8Q Q S 8Q 18 7Q
QA Q - QA 21 7Q
23 Q HHS 223J 17 7Q
38 Q D 368 17 7Q
8T Q S 8T 18 7Q
69 8 H 69J 25 2488A
3A 8 H 37A 21 2488A
8J 8 S 8J 18 2488A
TQ 8 S TQ 20 2488A
9A 8 S 9A 20 2488A
5Q 8 HS 25Q 17 2488A
QA 8 - QA 21 2488A
29 9 D 29T 21 9T
2K 9 HH 23JK 25 9T
88 9 P 58 13 9T
28 9 HS 278 17 9T
2A 9 HS 27A 20 9T
23 9 HHH 23JQA 26 9T
23 9 HHH 2239Q 26 9T
38 9 D 378 18 9T
47 7 D 247 13 7A
44 7 HHS 4456 19 7A
8J 7 S 8J 18 7A
2A 7 HH 226A 21 7A
6T 7 HS 6TA 17 7A
28 7 D 28J 20 7A
45 7 HD 245Q 21 7A
6T J HS 6TA 17 9J
4J J H 4TJ 24 9J
35 J HS 35Q 18 9J
7Q J S 7Q 17 9J
7T J S 7T 17 9J
9A J S 9A 20 9J
37 J HH 3678 24 9J
88 Q P 8Q 18 5QK
8J Q S 8J 18 5QK
5J Q H 56J 21 5QK
9A Q S 9A 20 5QK
QA Q - QA 21 5QK
33 Q HHS 3348 18 5QK
2Q Q H 2QK 22 5QK
7K Q S 7K 17 5QK
3A K HHHS 34QAA 19 QK
47 K D 477 18 QK
9A K S 9A 20 QK
23 K HHS 223T 17 QK
6J K H 6TJ 26 QK
79 K HS 79A 17 QK
35 K HS 35Q 18 QK
TK A S TK 20 7A
36 A HHHS 3346A 17 7A
27 A HH 247Q 23 7A
49 A HH 249K 25 7A
79 A H 799 25 7A
8T A S 8T 18 7A
28 A HS 28J 20 7A
47 Q D 347 14 TQ
8T Q S 8T 18 TQ
6J Q HS 36J 19 TQ
47 Q D 477 18 TQ
9T Q S 9T 19 TQ
28 Q HH 2578 22 TQ
5K Q HS 55K 20 TQ
9T Q S 9T 19 239QA
TQ Q S TQ 20 239QA
8T Q S 8T 18 239QA
2Q Q HHS 235Q 20 239QA
77 Q H 778 22 239QA
QA Q - QA 21 239QA
28 Q HHHS 2348A 18 239QA
9J 9 S 9J 19 9J
67 9 H 67Q 23 9J
78 9 H 78T 25 9J
36 9 HHS 3467 20 9J
5J 9 H 56J 21 9J
KA 9 - KA 21 9J
22 9 HHHHH 22555AA 21 9J
2K 2 HS 28K 20 29K
4J 2 S 4J 14 29K
35 2 HD 3345 15 29K
JJ 2 S JJ 20 29K
7Q 2 S 7Q 17 29K
4J 2 S 4J 14 29K
4A 2 HS 48A 13 29K
3Q 2 S 3Q 13 2KK
5J 2 S 5J 15 2KK
5K 2 S 5K 15 2KK
29 2 D 249 15 2KK
4T 2 S 4T 14 2KK
45 2 HS 45Q 19 2KK
79 2 S 79 16 2KK
2J 4 S 2J 12 4TKA
28 4 D 248 14 4TKA
2J 4 S 2J 12 4TKA
4K 4 S 4K 14 4TKA
89 4 S 89 17 4TKA
KA 4 - KA 21 4TKA
38 4 D 348 15 4TKA
AA A P 6A 17 7A
4A A - 4A 15 7A
6T A H 6TK 26 7A
4A A HH 4JQA 25 7A
45 A HS 45K 19 7A
8T A S 8T 18 7A
22 A HHHS 22239 18 7A
39 A H 39T 22 7A
6Q K HS 26Q 18 4JK
23 K HH 239K 24 4JK
69 K H 679 22 4JK
8Q K S 8Q 18 4JK
4J K H 47J 21 4JK
TK K S TK 20 4JK
JK K S JK 20 4JK
69 4 S 69 15 448T
45 4 D 445 13 448T
2A 4 HD 223A 18 448T
9Q 4 S 9Q 19 448T
46 4 D 46K 20 448T
28 4 D 28T 20 448T
JQ 4 S JQ 20 448T
34 6 HS 347 14 468
27 6 D 279 18 468
39 6 S 39 12 468
4A 6 D 4JA 15 468
28 6 D 28Q 20 468
57 6 S 57 12 468
JJ 6 S JJ 20 468
6J 9 HS 26J 18 9T
KA 9 - KA 21 9T
33 9 HHS 334J 20 9T
39 9 HS 389 20 9T
36 9 HS 368 17 9T
3T 9 HHH 23TQA 26 9T
36 9 HS 368 17 9T
4A 5 D 4JA 15 259A
2K 5 S 2K 12 259A
6Q 5 S 6Q 16 259A
89 5 S 89 17 259A
5J 5 S 5J 15 259A
TQ 5 S TQ 20 259A
4Q 5 S 4Q 14 259A
QA 9 - QA 21 49K
46 9 D 346 13 49K
6A 9 HHS 6JAA 18 49K
2T 9 HH 22TJ 24 49K
78 9 H 78K 25 49K
47 9 D 478 19 49K
29 9 D 299 20 49K
69 9 H 669 21 49J
7K 9 S 7K 17 49J
JK 9 S JK 20 49J
6A 9 HH 68KA 25 49J
67 9 H 678 21 49J
38 9 D 38A 12 49J
6T 9 H 69T 25 49J
46 8 D 469 19 8J
3T 8 HHH 37TAA 22 8J
79 8 HS 379 19 8J
77 8 HHS 2477 20 8J
TJ 8 S TJ 20 8J
23 8 HH 2389 22 8J
9Q 8 S 9Q 19 8J
58 3 S 58 13 233QA
5J 3 S 5J 15 233QA
23 3 HD 235T 20 233QA
2Q 3 HS 25Q 17 233QA
5J 3 S 5J 15 233QA
78 3 S 78 15 233QA
7K 3 S 7K 17 233QA
29 T D 229 13 TT
47 T D 47K 21 TT
29 T D 29J 21 TT
3Q T HS 34Q 17 TT
2J T H 2JK 22 TT
22 T HHS 226Q 20 TT
JA T - JA 21 TT
TK 2 S TK 20 2TQ
3K 2 S 3K 13 2TQ
6K 2 S 6K 16 2TQ
2J 2 HS 26J 18 2TQ
36 2 HS 36T 19 2TQ
7T 2 S 7T 17 2TQ
3T 2 S 3T 13 2TQ
6A 5 D 36A 20 577
26 5 HS 26Q 18 577
TQ 5 S TQ 20 577
6T 5 S 6T 16 577
TK 5 S TK 20 577
6Q 5 S 6Q 16 577
6K 5 S 6K 16 577
3A J HH 3JQA 24 26J
58 J HH 358T 26 26J
58 J H 58Q 23 26J
66 J H 66Q 22 26J
QA J - QA 21 26J
45 J HS 45A 20 26J
9J J S 9J 19 26J
8T 5 S 8T 18 3567
58 5 S 58 13 3567
TJ 5 S TJ 20 3567
3J 5 S 3J 13 3567
4K 5 S 4K 14 3567
3J 5 S 3J 13 3567
67 5 S 67 13 3567
9T 9 S 9T 19 279
89 9 S 89 17 279
9J 9 S 9J 19 279
59 9 HS 359 17 279
5Q 9 H 5TQ 25 279
57 9 HS 578 20 279
47 9 D 457 16 279
4T 3 S 4T 14 39J
48 3 HS 48A 13 39J
3K 3 S 3K 13 39J
6T 3 S 6T 16 39J
2Q 3 HS 24Q 16 39J
TK 3 S TK 20 39J
68 3 S 68 14 39J
5T A HS 25T 17 27AA
49 A H 489 21 27AA
6Q A HS 46Q 20 27AA
49 A HS 449 17 27AA
28 A HHS 2358 18 27AA
2Q A HHS 223Q 17 27AA
7J A S 7J 17 27AA
8A 6 D 89A 18 666
39 6 S 39 12 666
7Q 6 S 7Q 17 666
JJ 6 S JJ 20 666
68 6 S 68 14 666
26 6 HS 246 12 666
JK 6 S JK 20 666
7K T S 7K 17 9T
5J T H 5JK 25 9T
45 T HS 45T 19 9T
9J T S 9J 19 9T
7J T S 7J 17 9T
TQ T S TQ 20 9T
JJ T S JJ 20 9T
TQ 2 S TQ 20 234A
26 2 HS 256 13 234A
25 2 HD 2335 13 234A
JQ 2 S JQ 20 234A
8Q 2 S 8Q 18 234A
57 2 H 57Q 22 234A
56 2 D 567 18 234A
69 9 H 69K 25 9Q
6J 9 H 6JK 26 9Q
9Q 9 S 9Q 19 9Q
36 9 HS 36K 19 9Q
36 9 HS 36T 19 9Q
25 9 HD 2457 18 9Q
3K 9 HS 35K 18 9Q
45 K HS 45A 20 9K
JK K S JK 20 9K
TQ K S TQ 20 9K
9A K S 9A 20 9K
5A K HHH 2569A 23 9K
9J K S 9J 19 9K
39 K H 39K 22 9K
68 9 H 688 22 459
59 9 H 579 21 459
6T 9 H 6TJ 26 459
8K 9 S 8K 18 459
56 9 D 456 15 459
8J 9 S 8J 18 459
TK 9 S TK 20 459
4Q 6 S 4Q 14 46K
TK 6 S TK 20 46K
TA 6 - TA 21 46K
9Q 6 S 9Q 19 46K
25 6 HS 25J 17 46K
4J 6 S 4J 14 46K
47 6 D 47J 21 46K
JA 6 - JA 21 568
KK 6 S KK 20 568
68 6 S 68 14 568
22 6 P 27 9 568
2T 6 S 2T 12 568
TJ 6 S TJ 20 568
6K 6 S 6K 16 568
24 6 HD 245J 21 568
35 8 HS 359 17 8T
23 8 HHD 2233J 20 8T
35 8 HHHS 23456 20 8T
9K 8 S 9K 19 8T
48 8 HS 488 20 8T
7J 8 S 7J 17 8T
5Q 8 H 59Q 24 8T
TT 2 S TT 20 28Q
25 2 HHS 2355 15 28Q
JJ 2 S JJ 20 28Q
45 2 HS 45A 20 28Q
JK 2 S JK 20 28Q
35 2 HS 35T 18 28Q
35 2 HS 35A 19 28Q
2T Q H 2TT 22 QQ
6T Q H 6TK 26 QQ
JK Q S JK 20 QQ
48 Q HS 478 19 QQ
4Q Q HH 4JQA 25 QQ
9Q Q S 9Q 19 QQ
TQ Q S TQ 20 QQ
9K J S 9K 19 56J
78 J HS 478 19 56J
3Q J H 38Q 21 56J
5Q J H 5QQ 25 56J
JQ J S JQ 20 56J
4K J HS 34K 17 56J
29 J D 249 15 56J
2J 5 S 2J 12 56Q
2J 5 S 2J 12 56Q
48 5 S 48 12 56Q
5K 5 S 5K 15 56Q
9J 5 S 9J 19 56Q
6A 5 D 66A 13 56Q
9T 5 S 9T 19 56Q
JK J S JK 20 46J
5Q J HHS 35QA 19 46J
26 J HHS 2366 17 46J
35 J HS 35Q 18 46J
38 J D 38J 21 46J
4J J HH 24JK 26 46J
TA J - TA 21 46J
JA A - JA 21 8A
TA A - TA 21 8A
4K A H 49K 23 8A
9Q A S 9Q 19 8A
JK A S JK 20 8A
QQ A S QQ 20 8A
7T A S 7T 17 8A
3K 2 S 3K 13 29T
5T 2 S 5T 15 29T
77 2 P 37 10 29T
67 2 S 67 13 29T
2J 2 HS 26J 18 29T
8T 2 S 8T 18 29T
3A 2 HHS 23KA 16 29T
37 2 D 37Q 20 29T
4K 7 HS 46K 20 578
4J 7 HH 24JK 26 578
3A 7 HH 36AA 21 578
29 7 D 279 18 578
3J 7 HH 33JK 26 578
46 7 D 446 14 578
3A 7 H 37A 21 578
22 4 P 2Q 12 45J
26 4 HHS 226J 20 45J
3A 4 HS 3JA 14 45J
8J 4 S 8J 18 45J
4A 4 D 47A 12 45J
2K 4 S 2K 12 45J
7Q 4 S 7Q 17 45J
9J 4 S 9J 19 45J
8J 5 S 8J 18 2358
8A 5 S 8A 19 2358
6Q 5 S 6Q 16 2358
KA 5 - KA 21 2358
57 5 S 57 12 2358
2J 5 S 2J 12 2358
JK 5 S JK 20 2358
4T Q HS 46T 20 QK
66 Q H 66J 22 QK
57 Q HH 457K 26 QK
89 Q S 89 17 QK
8T Q S 8T 18 QK
56 Q D 56J 21 QK
78 Q HS 478 19 QK
68 J H 68Q 24 JK
6J J H 6TJ 26 JK
5T J HHS 35TA 19 JK
7J J S 7J 17 JK
2A J HHS 225A 20 JK
QK J S QK 20 JK
3T J H 3TJ 23 JK
JK A S JK 20 7A
68 A H 689 23 7A
48 A HHH 348KA 26 7A
8Q A S 8Q 18 7A
88 A P 68 14 7A
89 A S 89 17 7A
5A A HHS 457A 17 7A
3Q A H 3TQ 23 7A
38 A H 38K 21 2448AA
7J A S 7J 17 2448AA
JQ A S JQ 20 2448AA
45 A HH 4557 21 2448AA
4K A H 49K 23 2448AA
AA A P 2A 13 2448AA
TA A - TA 21 2448AA
57 A H 57J 22 2448AA
29 3 D 29J 21 239K
55 3 D 558 18 239K
69 3 S 69 15 239K
4K 3 S 4K 14 239K
JQ 3 S JQ 20 239K
3Q 3 S 3Q 13 239K
KK 3 S KK 20 239K
68 T H 688 22 TK
7Q T S 7Q 17 TK
8Q T S 8Q 18 TK
35 T HS 35Q 18 TK
28 T HS 28K 20 TK
2A T HS 26A 19 TK
9A T S 9A 20 TK
7A 4 D 7TA 18 45K
9T 4 S 9T 19 45K
4J 4 S 4J 14 45K
58 4 S 58 13 45K
QQ 4 S QQ 20 45K
29 4 D 239 14 45K
9J 4 S 9J 19 45K
5A 3 HS 45A 20 388
45 3 D 245 11 388
3J 3 S 3J 13 388
6J 3 S 6J 16 388
2K 3 HS 24K 16 388
7T 3 S 7T 17 388
JA 3 - JA 21 388
6J K H 69J 25 KK
3J K H 38J 21 KK
9J K S 9J 19 KK
49 K HH 3499 25 KK
7J K S 7J 17 KK
8K K S 8K 18 KK
3Q K H 38Q 21 KK
57 K HS 567 18 KK
3T K HHS 36TA 20 KK
QA K - QA 21 KK
57 K HS 567 18 KK
8Q K S 8Q 18 KK
33 K HH 337K 23 KK
4T K H 4TJ 24 KK
TA 6 - TA 21 69J
2K 6 S 2K 12 69J
4J 6 S 4J 14 69J
9T 6 S 9T 19 69J
44 6 HS 445 13 69J
8K 6 S 8K 18 69J
66 6 P 66 12 69J
